1718,114, wlan0_LBS1_NOISE_L, wlan0_LBS2_SIG_Q, wlan0_LBS2_SIG_L, wlan0_LBS2_NOISE_L, wlan0_LBS3_SIG_Q, wlan0_LBS3_SIG_L, wlan0_LBS3_NOISE_L, wlan0_LBS4_SIG_Q, wlan0_LBS4_SIG_L, wlan0_LBS4_NOISE_L, wlan0_NTU@1_SIG_Q, wlan0_NTU@1_SIG_L, wlan0_NTU@1_NOISE_L, wlan0_NTU@2_SIG_Q, wlan0_NTU@2_SIG_L, wlan0_NTU@2_NOISE_L, wlan0_NTU@3_SIG_Q, wlan0_NTU@3_SIG_L, wlan0_NTU@3_NOISE_L, wlan0_NTU@4_SIG_Q, wlan0_NTU@4_SIG_L, wlan0_NTU@4_NOISE_L, wlan0_ntu_peap@1_SIG_Q, wlan0_ntu_peap@1_SIG_L, wlan0_ntu_peap@1_NOISE_L, wlan0_ntu_peap@2_SIG_Q, wlan0_ntu_peap@2_SIG_L, wlan0_ntu_peap@2_NOISE_L, wlan0_ntu_peap@3_SIG_Q, wlan0_ntu_peap@3_SIG_L, wlan0_ntu_peap@3_NOISE_L, wlan0_eduroam@1_SIG_Q, wlan0_eduroam@1_SIG_L, wlan0_eduroam@1_NOISE_L, wlan0_eduroam@2_SIG_Q, wlan0_eduroam@2_SIG_L, wlan0_eduroam@2_NOISE_L, wlan0_eduroam@3_SIG_Q, wlan0_eduroam@3_SIG_L, wlan0_eduroam@3_NOISE_L, wlan0_MD402_1_SIG_Q, wlan0_MD402_1_SIG_L, wlan0_MD402_1_NOISE_L, wlan0_MD402-2_SIG_Q, wlan0_MD402-2_SIG_L, wlan0_MD402-2_NOISE_L, wlan0_NTUMOOC_SIG_Q, wlan0_NTUMOOC_SIG_L, wlan0_NTUMOOC_NOISE_L, wlan0_eslab-Dlink652_SIG_Q, wlan0_eslab-Dlink652_SIG_L, wlan0_eslab-Dlink652_NOISE_L, wlan0_DIRECT-32-HP M377 LaserJet_SIG_Q, wlan0_DIRECT-32-HP M377 LaserJet_SIG_L, wlan0_DIRECT-32-HP M377 LaserJet_NOISE_L, ra0_LBS1_SIG_Q, ra0_LBS1_SIG_L, ra0_LBS1_NOISE_L, ra0_LBS2_SIG_Q, ra0_LBS2_SIG_L, ra0_LBS2_NOISE_L, ra0_LBS3_SIG_Q, ra0_LBS3_SIG_L, ra0_LBS3_NOISE_L, ra0_LBS4_SIG_Q, ra0_LBS4_SIG_L, ra0_LBS4_NOISE_L, ra0_NTU@1_SIG_Q, ra0_NTU@1_SIG_L, ra0_NTU@1_NOISE_L, ra0_NTU@2_SIG_Q, ra0_NTU@2_SIG_L, ra0_NTU@2_NOISE_L, ra0_NTU@3_SIG_Q, ra0_NTU@3_SIG_L, ra0_NTU@3_NOISE_L, ra0_NTU@4_SIG_Q, ra0_NTU@4_SIG_L, ra0_NTU@4_NOISE_L, ra0_ntu_peap@1_SIG_Q, ra0_ntu_peap@1_SIG_L, ra0_ntu_peap@1_NOISE_L, ra0_ntu_peap@2_SIG_Q, ra0_ntu_peap@2_SIG_L, ra0_ntu_peap@2_NOISE_L, ra0_ntu_peap@3_SIG_Q, ra0_ntu_peap@3_SIG_L, ra0_ntu_peap@3_NOISE_L, ra0_eduroam@1_SIG_Q, ra0_eduroam@1_SIG_L, ra0_eduroam@1_NOISE_L, ra0_eduroam@2_SIG_Q, ra0_eduroam@2_SIG_L, ra0_eduroam@2_NOISE_L, ra0_eduroam@3_SIG_Q, ra0_eduroam@3_SIG_L, ra0_eduroam@3_NOISE_L, ra0_MD402_1_SIG_Q, ra0_MD402_1_SIG_L, ra0_MD402_1_NOISE_L, ra0_MD402-2_SIG_Q, ra0_MD402-2_SIG_L, ra0_MD402-2_NOISE_L, ra0_NTUMOOC_SIG_Q, ra0_NTUMOOC_SIG_L, ra0_NTUMOOC_NOISE_L, ra0_eslab-Dlink652_SIG_Q, ra0_eslab-Dlink652_SIG_L, ra0_eslab-Dlink652_NOISE_L, ra0_DIRECT-32-HP M377 LaserJet_SIG_Q, ra0_DIRECT-32-HP M377 LaserJet_SIG_L, ra0_DIRECT-32-HP M377 LaserJet_NOISE_L, Y
54,-56,0,64,-46,0,54,-56,0,55,-55,0,46,-64,0,32,-78,0,0,0,0,49,-61,0,47,-63,0,34,-76,0,51,-59,0,51,-59,0,0,0,0,31,-79,0,58,-52,0,46,-64,0,55,-55,0,39,-71,0,40,-70,0,81,-58,-92,89,-55,-92,100,-48,-92,94,-53,-92,57,-67,-92,65,-64,-92,52,-69,-92,68,-63,-92,57,-67,-92,57,-67,-92,70,-62,-92,70,-62,-92,39,-74,-69,57,-67,-92,100,-42,-92,100,-47,-92,76,-60,-92,70,-62,-92,42,-73,-75,1
52,-58,0,61,-49,0,54,-56,0,58,-52,0,43,-67,0,32,-78,0,0,0,0,44,-66,0,43,-67,0,34,-76,0,49,-61,0,49,-61,0,22,-88,0,31,-79,0,55,-55,0,48,-62,0,55,-55,0,33,-77,0,38,-72,0,68,-63,-92,100,-42,-92,99,-51,-92,99,-51,-92,63,-65,-92,65,-64,-92,44,-72,-67,81,-58,-92,60,-66,-92,42,-73,-68,81,-58,-92,81,-58,-92,39,-74,-69,44,-72,-67,100,-42,-92,100,-48,-92,100,-43,-92,42,-73,-68,60,-66,-92,1
55,-55,0,61,-49,0,61,-49,0,59,-51,0,41,-69,0,32,-78,0,0,0,0,41,-69,0,41,-69,0,34,-76,0,51,-59,0,50,-60,0,22,-88,0,31,-79,0,55,-55,0,50,-60,0,58,-52,0,33,-77,0,39,-71,0,70,-62,-92,100,-41,-92,100,-49,-92,96,-52,-92,57,-67,-92,31,-77,-72,44,-72,-67,76,-60,-92,57,-67,-92,44,-72,-67,76,-60,-92,76,-60,-92,29,-78,-73,55,-68,-92,100,-41,-92,100,-48,-92,100,-44,-92,50,-70,-92,60,-66,-92,1
53,-57,0,61,-49,0,61,-49,0,57,-53,0,42,-68,0,32,-78,0,31,-79,0,41,-69,0,40,-70,0,34,-76,0,49,-61,0,52,-58,0,22,-88,0,35,-75,0,57,-53,0,52,-58,0,57,-53,0,39,-71,0,39,-71,0,81,-58,-92,100,-42,-92,89,-55,-92,96,-52,-92,52,-69,-92,26,-79,-74,47,-71,-66,76,-60,-92,63,-65,-92,42,-73,-68,83,-57,-92,60,-66,-92,29,-78,-73,55,-68,-92,100,-40,-92,100,-47,-92,100,-43,-92,50,-70,-92,60,-66,-92,1
56,-54,0,63,-47,0,61,-49,0,55,-55,0,42,-68,0,24,-86,0,31,-79,0,42,-68,0,37,-73,0,34,-76,0,46,-64,0,44,-66,0,22,-88,0,35,-75,0,55,-55,0,53,-57,0,55,-55,0,38,-72,0,39,-71,0,83,-57,-92,100,-41,-92,96,-52,-92,96,-52,-92,52,-69,-92,26,-79,-74,42,-73,-68,86,-56,-92,52,-69,-92,47,-71,-66,99,-51,-92,81,-58,-92,29,-78,-73,57,-67,-92,100,-42,-92,100,-44,-92,100,-43,-92,50,-70,-92,57,-67,-92,1
50,-60,0,63,-47,0,61,-49,0,59,-51,0,41,-69,0,34,-76,0,31,-79,0,50,-60,0,41,-69,0,34,-76,0,48,-62,0,48,-62,0,22,-88,0,35,-75,0,55,-55,0,53,-57,0,55,-55,0,38,-72,0,39,-71,0,78,-59,-92,100,-41,-92,99,-51,-92,96,-52,-92,57,-67,-92,31,-77,-72,42,-73,-68,81,-58,-92,60,-66,-92,47,-71,-66,81,-58,-92,63,-65,-92,29,-78,-73,42,-73,-68,100,-43,-92,78,-59,-92,100,-44,-92,0,0,0,65,-64,-92,1
56,-54,0,61,-49,0,60,-50,0,57,-53,0,38,-72,0,33,-77,0,32,-78,0,40,-70,0,38,-72,0,34,-76,0,48,-62,0,47,-63,0,22,-88,0,35,-75,0,56,-54,0,47,-63,0,55,-55,0,38,-72,0,39,-71,0,83,-57,-92,100,-41,-92,73,-61,-92,94,-53,-92,52,-69,-92,31,-77,-72,55,-68,-92,89,-55,-92,60,-66,-92,42,-73,-68,100,-50,-92,86,-56,-92,0,0,0,47,-71,-66,100,-49,-92,100,-47,-92,100,-43,-92,44,-72,-67,60,-66,-92,1
48,-62,0,61,-49,0,59,-51,0,59,-51,0,46,-64,0,33,-77,0,32,-78,0,40,-70,0,43,-67,0,34,-76,0,51,-59,0,52,-58,0,22,-88,0,35,-75,0,52,-58,0,60,-50,0,55,-55,0,40,-70,0,42,-68,0,78,-59,-92,100,-41,-92,96,-52,-92,94,-53,-92,68,-63,-92,34,-76,-71,42,-73,-68,83,-57,-92,50,-70,-92,47,-71,-66,83,-57,-92,86,-56,-92,0,0,0,68,-63,-92,100,-43,-92,100,-41,-92,100,-44,-92,55,-68,-92,57,-67,-92,1
47,-63,0,61,-49,0,55,-55,0,58,-52,0,44,-66,0,33,-77,0,34,-76,0,53,-57,0,43,-67,0,34,-76,0,53,-57,0,42,-68,0,22,-88,0,35,-75,0,52,-58,0,54,-56,0,58,-52,0,38,-72,0,42,-68,0,89,-55,-92,100,-40,-92,89,-55,-92,96,-52,-92,52,-69,-92,34,-76,-71,37,-75,-70,78,-59,-92,55,-68,-92,44,-72,-67,81,-58,-92,57,-67,-92,0,0,0,44,-72,-67,100,-45,-92,100,-41,-92,100,-44,-92,39,-74,-69,68,-63,-92,1
42,-68,0,57,-53,0,55,-55,0,58,-52,0,40,-70,0,33,-77,0,34,-76,0,50,-60,0,41,-69,0,34,-76,0,49,-61,0,51,-59,0,22,-88,0,35,-75,0,57,-53,0,50,-60,0,58,-52,0,34,-76,0,42,-68,0,81,-58,-92,100,-42,-92,96,-52,-92,94,-53,-92,52,-69,-92,34,-76,-71,42,-73,-68,83,-57,-92,55,-68,-92,47,-71,-66,83,-57,-92,83,-57,-92,0,0,0,34,-76,-71,100,-47,-92,100,-43,-92,100,-44,-92,42,-73,-68,68,-63,-92,1
